,name,location,open_times,amenities,phone,website,rating,url
233,Akadu Bistro,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=30 Sokode Crescent, Wuse Zone 5, Abuja Nigeria@9.05785,7.49508",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d32828703-Reviews-Akadu_Bistro-Abuja_Federal_Capital_Territory.html
234,Da Chimney Restaurant and Bar,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=2 Aminu Kano Cres. Silverbird entertainment centre, near yaradua centre,, Abuja 900288 Nigeria@9.07277,7.46802",3.23.2 of 5 bubbles(10 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d7369423-Reviews-Da_Chimney_Restaurant_and_Bar-Abuja_Federal_Capital_Territory.html
235,Grounded Cafe,Abuja Photos,N/A,N/A,+234 809 153 3000,"https://maps.google.com/maps?saddr=&daddr=10 Fandriana Close Off, Oda Cres, Abuja 900120 Nigeria@9.077345,7.470345",4.74.7 of 5 bubbles(3 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d20112879-Reviews-Grounded_Cafe-Abuja_Federal_Capital_Territory.html
236,K & F FoodArt,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=54 Mike Akghibe Way, Abuja 240102 Nigeria@9.071948,7.431737",4.74.7 of 5 bubbles(3 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d19681295-Reviews-K_F_FoodArt-Abuja_Federal_Capital_Territory.html
237,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Restaurant_Review-g293825-d25241493-Reviews-Liquid_Hub_Abuja-Abuja_Federal_Capital_Territory.html
238,Timeout Restaurant,Abuja Photos,N/A,N/A,+234 818 000 9877,"https://maps.google.com/maps?saddr=&daddr=Lingu Crescent 2 2nd Ave. off Amino Kano Crescent, Abuja 900211 Nigeria@9.07117,7.46758",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d20322062-Reviews-Timeout_Restaurant-Abuja_Federal_Capital_Territory.html
239,Caprice Restaurant & Bar,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=Number 53 - 4th Avenue, Abuja 905102 Nigeria@9.11733,7.4061",5.05 of 5 bubbles(1 review),https://www.tripadvisor.com/Restaurant_Review-g293825-d14182500-Reviews-Caprice_Restaurant_Bar-Abuja_Federal_Capital_Territory.html
240,Nikky Bakes & Cafe,Abuja Photos,N/A,N/A,Call,"https://maps.apple.com/maps?saddr=&daddr=Plot 112 Aminu Kano Crescent, Abuja 900288 Nigeria@9.07452,7.46524",4.04 of 5 bubbles(1 review),https://www.tripadvisor.com/Restaurant_Review-g293825-d19250149-Reviews-Nikky_Bakes_Cafe-Abuja_Federal_Capital_Territory.html
241,Duna Dura,Abuja Photos,N/A,N/A,Call,"https://maps.google.com/maps?saddr=&daddr=Plot 118 Ahmadu Bello Way, Kado 5th Floor, Casa Bellissima Mall, Abuja 900108 Nigeria@9.088886,7.430807",No reviews yet(0 reviews),https://www.tripadvisor.com/Restaurant_Review-g293825-d25452032-Reviews-Duna_Dura-Abuja_Federal_Capital_Territory.html
242,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Restaurant_Review-g293825-d26613394-Reviews-Selingo_Restaurant_and_Grill-Abuja_Federal_Capital_Territory.html
